timestamp,helmet_detected,confidence,ignition_status,override
2026-01-02 22:19:23,YES,0.80,OFF,NO
2026-01-02 22:19:31,YES,0.80,ON,YES
2026-01-02 22:19:40,YES,0.80,ON,YES
2026-01-02 22:19:46,YES,0.80,ON,YES
2026-01-02 22:19:50,YES,0.80,ON,YES
2026-01-02 22:30:55,YES,0.80,OFF,NO
2026-01-02 22:31:07,YES,0.80,ON,NO
2026-01-02 22:32:09,YES,0.80,ON,YES
2026-01-02 22:32:23,NO,0.30,ON,YES
2026-01-02 22:32:46,YES,0.80,ON,YES
2026-01-02 22:32:52,NO,0.30,ON,YES
2026-01-02 22:33:12,NO,0.40,ON,YES
2026-01-02 22:33:13,NO,0.40,ON,YES
